M_tar,M_total,gamma,npt,b,v,hit_dir,attributes,m_lr,ratio_lr,Z_Fe_lr,np_lr,m_slr,ratio_slr,Z_Fe_slr,np_slr,accretion_rate,Q_R_norm,Q_RD_star_prime,Q_R,core_vap_frac,mantle_vap_frac,lr_si_from_tar,lr_fe_from_tar,slr_si_from_tar,slr_fe_from_tar,v_mutual,Q_norm,num_rem,round_m_tar,b_cat
0,0.0598079864409767,0.1196159728819535,1.0,203123,0.0,5.0036,pX,EiEf,0.1156757482010975,0.967059376888198,0.3099723160266876,392866,0.0,0.0,0.0,[0],0.9341187537763962,0.3192939398004777,98013185654.43428,31295016199.999992,0.0003316387210123,0.0264541608465812,0.5003910753055576,0.5000000420606169,0.0,0.0,1.1966842213516629,0.1975308641975308,1,0.06,0.0
1,0.0598079864409767,0.1196159728819535,1.0,203123,0.0,5.8375,pX,EiEf,0.1118659641257237,0.9352092486521172,0.3205131590366363,379927,0.0,0.0,0.0,[0],0.8704184973042343,0.4345895659659431,98013185654.43428,42595507812.5,0.0022158320172856,0.0281228079065326,0.5005404667108617,0.4999999579373095,0.0,0.0,1.3961236194220827,0.2688583835638277,1,0.06,0.0
2,0.0598079864409767,0.1196159728819535,1.0,203123,0.0,6.6715,pX,EiEf,0.1065515657516958,0.8907804132216467,0.3363775610923767,361878,0.0,0.0,0.0,[0],0.7815608264432934,0.5676393430232611,98013185654.43428,55636140312.5,0.0082506840312751,0.0273605048525049,0.4997709747305231,0.500024615570017,0.0,0.0,1.5955869339570747,0.351169489937609,1,0.06,0.0
3,0.0598079864409767,0.1196159728819535,1.0,203123,0.0,7.5054,pX,EiEf,0.1012845832146127,0.8467479783370431,0.3535587191581726,343990,0.0,0.0,0.0,[0],0.6934959566740861,0.7184113645510752,98013185654.43428,70413786450.0,0.009525481857537,0.0278085334341421,0.5003215540143484,0.5000288487204266,0.0,0.0,1.7950263320274944,0.4444444444444444,1,0.06,0.0
4,0.0598079864409767,0.1196159728819535,1.0,203123,0.0,7.9224,pX,EiEf,0.0990185646823932,0.8278038651252085,0.3619978129863739,336294,0.0,0.0,0.0,[0],0.6556077302504171,0.8004589043418215,98013185654.43428,78455527200.0,0.0061907308185209,0.0158027706426859,0.5001584194191843,0.4999507308329897,0.0,0.0,1.8947579892949904,0.4952030697107896,1,0.06,0.0
5,0.0598079864409767,0.1196159728819535,1.0,203123,0.0,8.3393,pX,EiEf,0.0819599572403025,0.6851924142370777,0.3955642282962799,278359,0.0,0.0,0.0,[0],0.3703848284741552,0.8869205202551964,98013185654.43428,86929905612.5,0.0058809944869304,0.0181536355462891,0.5007370276736387,0.5001861655114667,0.0,0.0,1.994465730097914,0.5486924585853677,1,0.06,0.0
6,0.0598079864409767,0.1196159728819535,1.0,203123,0.0,8.7563,pX,EiEf,0.0799286048731151,0.6682101306988076,0.3997637331485748,271460,0.0,0.0,0.0,[0],0.3364202613976152,0.9778376906389634,98013185654.43428,95840987112.5,0.0067783300933142,0.0205897694301234,0.5017062410991163,0.500202720848907,0.0,0.0,2.0941973873654103,0.6049382716049383,1,0.06,0.0
7,0.0598079864409767,0.1196159728819535,1.0,203123,0.0,9.1733,pX,EiEf,0.0768769855523704,0.6426983261528014,0.4049043357372284,261096,0.0,0.0,0.0,[0],0.2853966523056029,1.0731902081354412,98013185654.43428,105186791112.49995,0.0064658454434983,0.0223028547232513,0.5008012889190646,0.5003830442316766,0.0,0.0,2.193929044632906,0.6639280075086612,1,0.06,0.0
8,0.0598079864409767,0.1196159728819535,1.0,203123,0.0,9.5902,pX,EiEf,0.0734596730973262,0.6141292950049577,0.4115231037139892,249490,0.0,0.0,0.0,[0],0.2282585900099154,1.172953611112412,98013185654.43428,114964920049.99995,0.0062317719850938,0.0230885504226475,0.499526619448855,0.4999464699821819,0.0,0.0,2.29363678543583,0.7256465331331745,1,0.06,0.0
9,0.0598079864409767,0.1196159728819535,1.0,203123,0.0,10.0072,pX,EiEf,0.0701065349009867,0.5860967662752987,0.4177786707878113,238102,0.0,0.0,0.0,[0],0.1721935325505974,1.277175759201911,98013185654.43428,125180064799.99995,0.0127127986129598,0.0268476622469809,0.4991126502612391,0.5000301225664056,0.0,0.0,2.3933684427033257,0.7901234567901232,1,0.06,0.0
